student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
410,Student_409,9A,71.2,92.4,58.5,64.9,98.9,93.5
411,Student_410,10B,73.5,55.4,80.6,85.5,16.0,71.9
412,Student_411,9A,51.5,63.3,69.8,92.0,82.3,62.2
413,Student_412,10A,46.6,63.7,68.4,71.3,10.9,56.9
414,Student_413,9A,80.3,83.7,92.3,69.5,21.2,69.0
415,Student_414,9B,69.0,58.6,53.0,39.6,20.4,56.5
416,Student_415,12C,56.0,64.2,75.0,55.9,192.0,69.4
417,Student_416,12B,83.6,69.1,62.8,52.8,97.1,80.3
418,Student_417,9A,66.4,62.8,65.8,54.9,60.4,61.9
419,Student_418,11C,79.2,53.3,83.4,60.8,64.9,71.3
420,Student_419,11C,65.8,62.9,69.1,56.9,41.3,60.6
421,Student_420,12A,89.7,76.1,69.5,37.3,147.0,92.1
422,Student_421,10B,86.1,44.6,77.0,72.7,34.3,68.4
423,Student_422,10B,62.0,62.0,56.9,49.1,23.9,68.9
424,Student_423,9C,76.7,49.5,50.3,66.1,8.9,64.8
425,Student_424,10C,72.7,77.9,47.4,90.0,77.1,77.0
426,Student_425,10B,81.4,37.2,34.5,51.0,66.3,59.9
427,Student_426,10A,53.4,51.6,90.8,30.1,24.3,58.6
428,Student_427,9A,73.2,65.7,46.6,59.3,5.0,49.1
429,Student_428,11C,77.7,83.5,58.9,77.3,91.3,77.1
430,Student_429,11B,43.9,59.0,58.1,88.5,5.0,60.5
431,Student_430,9B,50.8,51.7,66.3,47.0,60.8,55.6
432,Student_431,11C,40.5,88.2,73.4,69.5,175.8,67.0
433,Student_432,12B,61.8,38.3,74.0,57.0,28.8,56.5
434,Student_433,12B,73.6,27.0,53.8,61.6,13.4,63.8
435,Student_434,9C,83.0,66.6,59.7,97.4,61.0,84.6
436,Student_435,9B,65.9,52.5,66.0,43.5,84.9,62.3
437,Student_436,11C,84.5,44.7,58.5,66.3,39.5,71.3
438,Student_437,11A,48.4,70.6,84.5,69.1,170.6,73.3
439,Student_438,9A,44.6,63.7,68.9,77.1,5.0,47.0
440,Student_439,9C,64.3,51.5,72.3,64.3,35.1,56.8
441,Student_440,11C,69.6,40.8,71.3,67.0,63.4,73.3
442,Student_441,9A,64.6,73.1,78.4,57.9,99.3,71.6
443,Student_442,12C,40.2,69.8,64.5,66.5,9.9,53.7
444,Student_443,12B,63.9,58.5,43.8,58.5,80.5,59.2
445,Student_444,10C,49.3,87.7,67.6,71.1,40.2,78.0
446,Student_445,12C,73.0,43.9,52.9,58.2,25.3,67.6
447,Student_446,12A,69.4,37.1,54.6,67.9,7.1,68.6
448,Student_447,12B,53.7,49.6,70.2,62.6,100.2,61.7
449,Student_448,12B,58.8,59.3,79.3,77.6,8.6,65.4
450,Student_449,11C,52.3,63.7,62.3,62.3,18.5,48.4
451,Student_450,9A,64.2,56.4,66.3,40.0,17.1,66.1
452,Student_451,11B,76.5,65.3,85.8,79.4,102.6,73.4
453,Student_452,12B,53.2,41.2,65.4,51.2,55.8,55.4
454,Student_453,12C,71.0,81.7,98.4,54.5,79.6,72.9
455,Student_454,9B,58.6,58.8,69.9,55.3,14.4,55.1
456,Student_455,9B,55.5,76.8,37.3,80.9,49.0,57.1
457,Student_456,11B,63.7,65.1,72.5,35.2,42.4,58.1
458,Student_457,9B,52.6,66.9,67.3,100.0,89.4,67.5
459,Student_458,9C,58.4,68.5,80.1,76.7,118.3,71.3
460,Student_459,12B,50.6,66.7,71.4,65.9,5.0,64.0
461,Student_460,9A,88.6,69.6,60.1,62.3,56.0,67.6
462,Student_461,11C,65.4,79.9,44.9,66.7,5.0,63.6
463,Student_462,12C,56.6,62.9,59.1,69.8,39.8,68.3
464,Student_463,12A,67.6,70.6,50.1,71.4,17.0,60.3
465,Student_464,10B,63.7,58.7,53.9,70.2,18.3,55.4
466,Student_465,10B,62.3,81.6,70.2,64.2,21.8,66.3
467,Student_466,12C,72.4,49.9,85.4,60.4,48.5,74.9
468,Student_467,12A,74.1,87.0,67.5,61.0,20.3,73.1
469,Student_468,9C,58.6,59.4,45.3,60.5,66.0,55.6
470,Student_469,10C,58.1,38.5,68.2,77.7,25.9,60.2
471,Student_470,10B,61.7,61.9,78.8,70.7,5.0,57.2
472,Student_471,9C,37.4,49.8,53.5,25.0,76.6,50.2
473,Student_472,12A,46.8,72.6,60.1,71.5,16.8,61.1
474,Student_473,10A,81.4,50.2,62.2,65.5,28.3,63.7
475,Student_474,12A,84.7,53.3,51.0,62.8,57.8,62.2
476,Student_475,10B,62.0,31.7,71.1,57.9,20.2,48.8
477,Student_476,11C,71.9,53.2,60.3,77.6,5.0,65.8
478,Student_477,11B,68.7,23.6,67.9,75.3,23.4,64.1
479,Student_478,12B,100.0,36.2,49.6,53.0,144.5,69.7
480,Student_479,10B,78.4,71.4,55.9,68.3,51.3,73.6
481,Student_480,10B,63.5,71.8,72.1,50.4,55.7,54.1
482,Student_481,10C,53.5,66.4,56.8,45.1,50.0,53.9
483,Student_482,10A,45.7,45.5,86.2,54.9,11.1,53.5
484,Student_483,11B,67.4,59.3,56.4,74.2,27.1,57.5
485,Student_484,11C,55.9,59.9,65.1,75.4,69.5,58.8
486,Student_485,11A,47.9,42.6,75.1,69.7,5.3,49.3
487,Student_486,11C,57.2,82.6,42.1,72.4,16.3,63.0
488,Student_487,11C,52.0,73.2,37.3,69.7,16.2,54.6
489,Student_488,12A,85.2,56.7,40.6,54.7,28.3,49.2
490,Student_489,12C,75.6,60.4,79.7,68.6,196.5,70.8
491,Student_490,12B,64.9,63.1,54.3,73.4,5.0,57.1
492,Student_491,11C,82.8,29.4,97.8,72.8,36.6,72.5
493,Student_492,12B,65.9,56.3,54.1,78.5,9.9,44.0
494,Student_493,11A,54.7,49.8,64.6,72.2,176.5,66.4
495,Student_494,10C,83.3,45.0,83.6,67.6,6.0,64.6
496,Student_495,12A,71.5,55.8,90.1,76.9,25.8,78.9
497,Student_496,12A,52.6,87.0,90.9,62.7,66.9,70.8
498,Student_497,11C,62.7,69.6,78.9,51.5,61.0,70.0
499,Student_498,12C,54.5,51.4,76.3,60.9,27.5,59.4
500,Student_499,12B,48.4,68.6,70.3,53.3,21.3,45.1
